27,160,113
54,238,545
17,220,171
13,115,786
52,69,656
35,541,471
5,310,175
2,439,572
15,1009,139
47,195,532
23,388,769
11,440,781
24,1016,92
43,1073,662
42,513,301
36,622,784
21,1060,81
9,501,31
31,857,547
49,530,439
38,261,46
34,198,69
7,555,796
20,991,190
28,49,688
0,46,244
40,778,166
22,566,544
29,1051,765
14,116,569
56,333,637
48,20,64
18,1052,77
33,1007,320
39,547,88
16,398,764
12,1015,155
32,493,714
37,776,162
50,985,76
44,417,35
46,1097,457
10,210,386
51,130,748
45,443,434
1,239,418
53,233,583
8,268,607
6,199,295
19,554,817
55,561,305
4,850,10
41,146,182
3,1079,22
26,497,774
30,200,252
25,747,47
