1,19,9
2,41,10
3,5,9
4,55,10
5,12,6
6,15,10
7,40,8
8,23,2
9,25,7
10,34,9
11,45,7
12,17,5
13,4,6
14,14,7
15,35,1
16,26,4
17,8,6
18,50,10
19,51,4
20,9,8
21,7,2
22,41,1
23,47,10
24,30,5
25,47,4
26,29,8
27,11,2
28,30,9
29,16,4
30,3,10
31,3,8
32,21,6
33,21,9
34,41,3
35,19,3
36,19,7
37,7,6
38,46,4
39,53,2
40,30,7
41,36,1
42,6,10
43,22,3
44,32,4
45,38,10
46,4,3
47,39,2
48,13,4
49,20,4
50,35,10
51,7,9
52,31,3
53,35,4
54,44,1
55,8,10
56,22,5
57,6,2
58,45,2
59,2,10
60,28,10
61,54,10
62,53,9
63,44,9
64,51,1
65,22,9
66,23,6
67,1,1
68,7,10
69,20,7
70,6,7
71,29,5
72,22,6
73,28,3
74,5,3
75,0,7
76,14,1
77,18,10
78,54,3
79,2,3
80,43,10
81,15,1
82,12,1
83,24,9
84,54,6
85,35,7
86,55,1
87,56,7
88,3,4
89,39,1
90,52,5
91,56,4
92,34,2
93,30,2
94,2,1
95,34,10
96,16,10
97,16,8
98,52,6
99,23,3
100,15,7
101,22,10
102,44,2
103,20,6
104,56,10
105,21,7
106,11,5
107,42,10
108,19,10
109,37,7
110,37,10
111,20,10
112,48,3
113,3,5
114,13,3
115,27,10
116,49,10
117,39,4
118,7,1
119,21,10
120,20,2
121,17,9
122,36,6
123,40,2
124,10,8
125,29,10
126,39,5
127,46,6
128,48,2
129,32,6
130,35,2
131,14,3
132,8,9
133,10,10
134,18,4
135,12,3
136,7,5
137,5,6
138,52,7
139,10,1
140,46,10
141,21,3
142,3,2
143,22,7
144,4,10
145,55,4
146,9,7
147,37,6
148,20,8
149,2,4
150,45,10
151,41,4
152,46,1
153,53,10
154,19,2
155,13,10
156,16,9
157,9,3
158,31,1
159,54,1
160,26,10
161,53,5
162,44,10
163,44,5
164,42,6
165,14,10
166,5,8
167,15,9
168,32,1
169,38,4
170,25,4
171,10,9
172,39,9
173,23,5
174,4,1
175,36,3
176,32,5
177,43,1
178,6,8
179,8,8
180,23,7
181,40,10
182,21,5
183,46,2
184,3,3
185,15,4
186,8,4
187,26,6
188,49,1
189,32,10
190,53,1
191,53,8
192,40,6
193,56,2
194,17,7
195,20,3
196,36,7
197,51,5
198,7,3
199,18,6
200,39,7
201,38,7
202,3,7
203,21,2
204,22,2
205,38,6
206,48,9
207,14,8
208,1,10
209,30,10
210,33,1
211,17,10
212,9,10
213,39,10
214,40,7
215,29,6
216,31,6
217,17,6
218,23,10
219,40,9
220,34,1
221,17,1
222,32,7
223,49,6
224,33,9
225,15,6
226,12,10
227,4,8
228,23,1
229,25,10
230,3,6
231,6,1
232,48,10
233,10,4
234,50,1
235,7,8
236,24,10
237,28,1
238,14,2
239,24,7
240,49,2
241,39,6
242,10,5
243,28,2
244,6,6
245,32,9
246,40,4
247,40,5
248,36,10
249,5,5
250,16,7
251,54,4
252,48,8
253,11,10
254,47,9
255,19,4
256,5,10
257,22,4
258,51,10
259,34,4
260,33,10
261,31,10
262,52,10
263,36,9
264,20,5
265,16,3
266,5,1
267,2,7
268,0,1
269,44,3
270,50,4
271,51,2
272,0,10
273,54,2
274,56,9
275,28,9
276,10,7
277,23,4
278,18,1
279,42,9
280,30,6
281,4,2
282,47,7
