958,778,auto
851,383,no es necesaria
1047,624,moto
213,725,auto
1042,158,vehiculo de carga
1206,6,no es necesaria
1643,507,auto
581,546,auto
134,429,no es necesaria
780,32,moto
147,598,no es necesaria
1575,470,moto
703,495,moto
387,332,auto
794,314,auto
491,200,moto
656,791,moto
1022,103,auto
982,25,auto
874,699,no es necesaria
686,228,auto
1445,299,moto
301,23,auto
385,470,moto
316,29,vehiculo de carga
49,318,auto
666,475,vehiculo de carga
1541,243,auto
1099,483,auto
1553,670,auto
1326,660,vehiculo de carga
522,410,auto
836,327,auto
275,371,auto
1327,629,no es necesaria
222,663,no es necesaria
196,674,auto
13,644,vehiculo de carga
242,643,auto
606,344,auto
1443,711,moto
538,323,moto
1036,512,no es necesaria
308,646,vehiculo de carga
644,715,no es necesaria
269,347,no es necesaria
866,658,auto
1639,699,auto
416,245,auto
1084,156,auto
1388,653,moto
482,783,moto
1472,299,no es necesaria
761,467,moto
42,670,moto
649,645,no es necesaria
635,619,auto
531,548,auto
223,154,vehiculo de carga
469,799,auto
1359,167,auto
596,672,no es necesaria
802,104,auto
264,710,auto
1550,38,vehiculo de carga
1288,444,auto
920,478,moto
607,33,vehiculo de carga
1577,693,auto
233,53,auto
1301,657,moto
677,567,no es necesaria
200,712,no es necesaria
1528,776,moto
1564,332,auto
1353,674,auto
1307,474,auto
1172,690,vehiculo de carga
1311,335,moto
687,199,auto
1111,95,vehiculo de carga
1654,353,moto
359,332,vehiculo de carga
1432,300,no es necesaria
1141,652,auto
688,818,no es necesaria
1631,793,auto
1513,610,vehiculo de carga
1194,372,vehiculo de carga
1039,287,no es necesaria
546,570,auto
712,642,vehiculo de carga
1543,621,vehiculo de carga
1431,540,moto
1448,551,vehiculo de carga
76,455,auto
224,779,auto
1397,448,auto
281,669,auto
78,520,no es necesaria
1547,398,no es necesaria
250,148,no es necesaria
98,185,auto
1346,575,auto
1650,605,auto
1260,291,auto
803,340,auto
381,790,auto
1510,181,auto
471,798,vehiculo de carga
481,515,auto
206,744,auto
118,475,moto
73,344,auto
723,23,auto
1339,742,auto
550,519,no es necesaria
417,792,moto
1411,106,moto
980,615,moto
1548,534,moto
361,397,vehiculo de carga
1399,780,moto
835,559,auto
967,495,moto
87,503,vehiculo de carga
1335,697,no es necesaria
479,385,vehiculo de carga
530,816,auto
1208,600,vehiculo de carga
1030,632,auto
1092,240,moto
1151,42,auto
451,402,auto
1226,53,auto
1571,559,auto
115,227,moto
705,228,no es necesaria
560,515,no es necesaria
912,700,vehiculo de carga
1238,625,auto
504,564,auto
1125,220,no es necesaria
330,791,no es necesaria
1468,82,no es necesaria
1515,612,auto
1462,102,auto
615,584,moto
270,598,no es necesaria
1366,437,no es necesaria
1159,546,vehiculo de carga
46,658,moto
682,267,auto
1625,128,no es necesaria
950,336,auto
692,472,auto
1454,705,auto
1246,644,auto
1473,429,auto
1428,776,moto
916,18,auto
549,505,no es necesaria
945,274,auto
788,723,auto
1130,618,moto
38,1,moto
886,537,auto
773,564,moto
1636,26,vehiculo de carga
189,89,auto
689,222,moto
306,58,vehiculo de carga
910,624,auto
135,485,auto
85,467,no es necesaria
1365,26,auto
360,502,auto
1306,317,auto
1140,221,auto
1297,816,moto
748,29,auto
1234,705,no es necesaria
339,389,moto
1154,115,auto
613,551,auto
1051,702,no es necesaria
358,221,auto
1524,478,auto
140,61,no es necesaria
1133,768,auto
883,823,no es necesaria
662,39,no es necesaria
1251,206,no es necesaria
1281,462,moto
1021,52,no es necesaria
335,509,moto
7,21,auto
1605,224,auto
499,245,no es necesaria
911,378,auto
739,219,auto
1004,639,auto
1196,411,auto
161,620,moto
1156,313,auto
695,73,no es necesaria
743,358,auto
492,611,vehiculo de carga
637,385,vehiculo de carga
674,582,auto
231,403,auto
630,590,auto
456,247,moto
877,245,no es necesaria
472,75,moto
1495,502,moto
1278,710,auto
1619,531,auto
1290,554,auto
448,680,auto
1545,718,no es necesaria
552,277,auto
8,414,auto
548,513,auto
1218,289,vehiculo de carga
131,797,vehiculo de carga
1496,736,moto
19,577,no es necesaria
1325,561,auto
1214,636,no es necesaria
541,785,auto
464,759,auto
517,631,auto
1620,191,moto
996,593,no es necesaria
